sub_id,sub_thai,subdistrict,dis_thai,district,pro_thai,province,lat,lng,name_id,amenity,amenity_cafe,amenity_clinic,amenity_fuel,amenity_hospital,amenity_place_of_worship,amenity_police,amenity_restaurant,amenity_school,amenity_shelter,amenity_toilets,historic,leisure,natural,office,publictransport,residential,shop,shop_convenience,tourism,tourism_attraction,tourism_guest_house,tourism_hotel,poi,size
100801,ป้อมปราบ,,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,กรุงเทพมหานคร,Bangkok,13.743,100.514,Bangkok_39,461.7968317,20.99076508,0,0,0,6.458696947,0,43.59620439,0,0,1.614674237,54.89892405,35.52283321,261.5772264,8.073371184,8.073371184,0,146.9353555,12.91739389,29.06413626,1.614674237,1.614674237,4.84402271,681,0.61931997
100802,วัดเทพศิรินทร์,,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,กรุงเทพมหานคร,Bangkok,13.749,100.512,Bangkok_40,222.5389833,4.541611904,0,2.270805952,0,0,2.270805952,36.33289523,0,2.270805952,0,4.541611904,22.70805952,143.060775,0,4.541611904,0,22.70805952,9.083223808,24.97886547,2.270805952,0,0,222,0.440372282
100803,คลองมหานาค,,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,กรุงเทพมหานคร,Bangkok,13.753,100.513,Bangkok_41,172.2592049,5.167776147,0,0,1.722592049,1.722592049,0,6.890368196,0,1.722592049,0,0,36.17443303,158.4784685,6.890368196,12.05814434,0,17.22592049,5.167776147,46.50998532,0,1.722592049,6.890368196,279,0.580520501
100804,บ้านบาตร,,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,กรุงเทพมหานคร,Bangkok,13.752,100.507,Bangkok_42,175.5441881,12.36226677,0,2.472453353,0,0,0,7.41736006,0,2.472453353,7.41736006,61.81133383,39.55925365,168.126828,17.30717347,7.41736006,0,74.1736006,4.944906706,212.6309884,2.472453353,0,0,322,0.404456569
100805,วัดโสมนัส,,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,กรุงเทพมหานคร,Bangkok,13.759,100.511,Bangkok_43,175.6555607,4.391389018,0,0,0,0,0,15.36986156,0,0,2.195694509,0,48.30527919,195.4168113,46.10958469,39.52250116,0,87.82778035,10.97847254,63.67514076,2.195694509,0,0,315,0.455436763
100905,บางจาก,,พระโขนง,Phra Khanong,กรุงเทพมหานคร,Bangkok,13.692,100.626,Bangkok_44,11.67261012,0.682165526,0.151592339,0.303184678,0,0.227388509,0,1.061146375,0,0.07579617,0,0,2.804458276,9.70190971,4.092993159,3.259235293,0.530573187,5.381528042,1.136942544,3.86560465,0.07579617,0,0.530573187,601,13.19327883
101001,มีนบุรี,,มีนบุรี,Min Buri,กรุงเทพมหานคร,Bangkok,13.804,100.723,Bangkok_45,9.860194417,0.201228457,0.040245691,0.241474149,0.080491383,0.080491383,0.040245691,0.120737074,0.201228457,0.040245691,0,0.321965532,3.944077767,8.652823672,0.160982766,6.278327873,2.736707022,0.523193989,0.28171984,1.046387979,0.120737074,0,0,869,24.84738025
101002,แสนแสบ,,มีนบุรี,Min Buri,กรุงเทพมหานคร,Bangkok,13.812,100.774,Bangkok_46,0.196832148,0.028118878,0,0,0,0.028118878,0,0.028118878,0,0,0,0,0.787328593,26.90976654,0.056237757,0.759209714,4.470901652,0.140594392,0.056237757,0.112475513,0,0,0,1194,35.56329626
101101,ลาดกระบัง,,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,13.723,100.771,Bangkok_47,81.34881731,0.539329176,0,0.539329176,0.089888196,0.089888196,0.089888196,3.415751445,0.089888196,0.539329176,0.269664588,0.269664588,9.348372376,114.8771144,0.179776392,3.235975053,3.146086857,14.92144052,1.438211135,4.943850776,0.179776392,0,2.247204898,2690,11.12493125
101102,คลองสองต้นนุ่น,,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,13.753,100.723,Bangkok_48,2.783233944,0.061849643,0,0,0,0,0,0.18554893,0,0.18554893,0.18554893,0.061849643,2.906933231,27.83233944,0.371097859,2.102887869,3.463580019,1.484391437,0.123699286,0.556646789,0.123699286,0,0,686,16.16824202
101103,คลองสามประเวศ,,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,13.753,100.754,Bangkok_49,8.89523201,0.112597874,0,0,0,0,0,0.281494684,0,0,0,0.056298937,4.954306436,107.756165,0.900782988,2.308256408,2.702348965,2.251957471,0.281494684,0.16889681,0,0,0,2321,17.76232478
101104,ลำปลาทิว,,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,13.765,100.817,Bangkok_50,12.73174984,0.08966021,0,0.029886737,0,0,0.029886737,0.149433684,0,0,0,0.029886737,6.873949444,98.53657094,0.687394944,1.374789889,1.105809258,2.331165464,0.08966021,0.029886737,0.029886737,0,0,4153,33.45965836
101105,ทับยาว,,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,13.728,100.815,Bangkok_51,2.569678198,0.036709689,0,0,0,0.036709689,0,0.036709689,0,0,0.036709689,0.110129066,4.625420756,93.13247982,0.146838754,0.036709689,0,1.064580968,0.183548443,0.293677508,0.036709689,0,0.110129066,2791,27.24076504
101106,ขุมทอง,,ลาดกระบัง,Lat Krabang,กรุงเทพมหานคร,Bangkok,13.736,100.855,Bangkok_52,7.078211613,0,0,0.043692664,0,0,0,0.087385329,0,0,0,0.218463321,13.06410662,105.8673255,0.043692664,1.2233946,0.218463321,0.91754595,0.043692664,0,0.043692664,0.043692664,0,2950,22.88713715
101203,ช่องนนทรี,,ยานนาวา,Yannawa,กรุงเทพมหานคร,Bangkok,13.682,100.533,Bangkok_53,116.8730016,2.010430073,0.268057343,0.268057343,0,0,0,6.567404904,0.134028672,0,0.134028672,5.629204203,172.0928142,240.4474367,9.247978334,16.21746925,80.95331759,44.2294616,0.938200701,5.36114686,0,0,0.268057343,5235,7.461090144
